,Filename,Group,Dataset,ID_skip
0,56_YAaDV,original,NP,FALSE
1,38_YAaDV,original,NP,FALSE
2,76_YAaDV,original,NP,FALSE
3,11_YAaLR,original,NP,FALSE
4,64_YAaDV,original,NP,FALSE
5,70_YAaLR,original,NP,FALSE
6,55_YAaDV,original,NP,FALSE
7,7_YAaLR,original,NP,FALSE
8,62_YAaLR,original,NP,FALSE
9,20_YAaLR,original,NP,FALSE
10,2,0,HL,FALSE
11,3,1,HL,FALSE
12,1,2,HL,FALSE
13,4,3,HL,FALSE
14,5,4,HL,FALSE
15,7,0,HL,FALSE
16,6,1,HL,FALSE
17,8,2,HL,FALSE
18,9,3,HL,FALSE
19,20190928_08,0,EY,FALSE
20,20190929_02,1,EY,FALSE
21,20190929_03,2,EY,FALSE
22,20190925_01,3,EY,FALSE
23,20191030_07,4,EY,FALSE
24,20190925_04,0,EY,FALSE
25,20191030_03,1,EY,FALSE
26,20190929_05,2,EY,FALSE
27,20190929_07,3,EY,FALSE
28,20190929_06,4,EY,FALSE
29,20191104_10,0,EY,FALSE
30,20191104_08,1,EY,FALSE
31,20190924_01,2,EY,FALSE
32,20190928_01,3,EY,FALSE
33,20190928_03,4,EY,FALSE
34,20190924_03,0,EY,FALSE
35,20190924_02,1,EY,FALSE
36,20190928_13,2,EY,FALSE
37,20190928_07,3,EY,FALSE
38,20190928_11,4,EY,FALSE
39,20190928_05,0,EY,FALSE
40,2021-12-03-w00-NP1,0,SK2,FALSE
41,2022-03-05-w00-NP1,1,SK2,FALSE
42,2022-02-12-w00-NP1,2,SK2,FALSE
43,2022-02-22-w04-NP1,3,SK2,FALSE
44,2022-02-11-w03-NP1,4,SK2,FALSE
45,2022-02-12-w01-NP1,0,SK2,FALSE
46,2022-01-22-w04-NP1,1,SK2,FALSE
47,2022-04-26-w01-NP1,2,SK2,FALSE
48,2022-04-26-w00-NP1,3,SK2,FALSE
49,2022-04-01-w00-NP1,4,SK2,FALSE
50,20230412-20-15-17,0,SK1,TRUE
51,20230506-14-24-57,1,SK1,FALSE
52,20230510-13-25-46,2,SK1,FALSE
53,20230322-22-43-03,3,SK1,FALSE
54,20221106-21-47-31,4,SK1,FALSE
55,20230506-12-56-00,0,SK1,FALSE
56,20221106-21-00-09,1,SK1,FALSE
57,20230322-20-16-50,2,SK1,FALSE
58,20221028-18-48-00,3,SK1,FALSE
59,20230506-15-33-51,4,SK1,FALSE
60,20230510-15-49-47,0,SK1,FALSE
61,20230904-15-09-05,1,SK1,FALSE
62,20221215-20-02-49,2,SK1,FALSE
63,20230909-16-48-09,3,SK1,FALSE
64,20230904-14-30-52,4,SK1,FALSE
65,20230322-21-41-10,0,SK1,FALSE
66,20221106-21-23-19,1,SK1,FALSE
67,20230506-15-01-45,2,SK1,FALSE
68,20230510-12-53-34,3,SK1,FALSE
69,20230904-15-59-40,4,SK1,FALSE
70,20230322-18-57-04,0,SK1,FALSE
71,20230918-17-21-0,0,KK,FALSE
72,20231013-9-30-0,1,KK,TRUE
73,20231013-11-11-0,2,KK,FALSE
74,20230928-11-14-0,3,KK,FALSE
75,20230928-14-27-0,4,KK,FALSE
76,20230928-16-0-0,0,KK,FALSE
77,20230918-9-54-0,1,KK,FALSE
78,20231013-13-28-0,2,KK,FALSE
79,20230918-13-21-0,3,KK,FALSE
80,2023-01-13-07,0,SF,FALSE
81,2023-01-16-22,1,SF,FALSE
82,2022-08-02-01,2,SF,TRUE
83,2023-01-16-08,3,SF,FALSE
84,2023-01-06-08,4,SF,FALSE
85,2022-12-21-06,0,SF,FALSE
86,2023-01-09-28,1,SF,TRUE
87,2023-01-17-14,2,SF,TRUE
88,2023-01-05-01,3,SF,TRUE
89,2023-01-17-01,4,SF,FALSE
90,2023-01-09-15,0,SF,FALSE
91,2022-07-15-12,1,SF,FALSE
92,2022-07-15-06,2,SF,TRUE
93,2023-01-17-07,3,SF,FALSE
94,2023-01-23-01,4,SF,TRUE
95,2023-01-23-15,0,SF,FALSE
96,2023-01-19-15,1,SF,TRUE
97,2022-07-26-01,2,SF,TRUE
98,2023-01-10-14,3,SF,TRUE
99,2022-06-14-13,4,SF,FALSE
100,2022-06-14-07,0,SF,FALSE
101,2023-01-09-08,1,SF,TRUE
102,2023-01-09-22,2,SF,FALSE
103,2023-01-19-22,3,SF,TRUE
104,2022-06-14-01,4,SF,FALSE
105,2023-01-10-07,0,SF,FALSE
106,2023-01-23-08,1,SF,FALSE
107,2023-01-05-18,2,SF,FALSE
108,2023-01-23-21,3,SF,FALSE
109,2023-01-19-08,4,SF,FALSE
110,2022-06-28-07,0,SF,TRUE
111,2023-01-16-15,1,SF,FALSE
112,2023-01-16-01,2,SF,FALSE
113,2022-07-20-01,3,SF,FALSE
114,2023-01-06-01,4,SF,FALSE
115,2023-01-18-01,0,SF,FALSE
116,2022-06-28-01,1,SF,FALSE
117,2023-03-07-01,2,SF,FALSE